reference	book	chapter	count	min_confidence	surfaces	pages	confirmed
Hebr 8	Hebräer	8	4	0.933	"zun
Hebreern am 8. Capitel (3) | zum Hebrern
am viii (1)"	a_v_1447_schlussredaktion:492; druck_1608_bern:357; druck_1608_zuerich:359; druck_1701:319	
Jer 15	Jeremia	15	4	0.933	"Hieremia
am 15. (2) | Hieremia
am xv. (1) | Hieremia am
15. (1)"	druck_1528:413; druck_1608_bern:476; druck_1608_zuerich:478; druck_1701:426	
Jer 16	Jeremia	16	4	0.857	Hierem.am 16.cap. (2) | Hierem. am 16. Cap. (1) | Jeremie 16. Cap. (1)	druck_1608_bern:61; druck_1608_zuerich:63; druck_1701:48,127	
Jes 10	Jesaja	10	4	1.0	"Eſaie
10. (2) | Eſaie am x. (1) | Eſaie am
10. (1)"	druck_1528_04:238; druck_1608_bern:236; druck_1608_zuerich:238; druck_1701:209	
Jes 35	Jesaja	35	4	1.0	"Eſaie am 35. (2) | Esaie am xxxv. (1) | Esaie am
35. (1)"	druck_1528_04:505; druck_1608_bern:507; druck_1608_zuerich:509; druck_1701:453	
Jes 42	Jesaja	42	4	0.857	Eſaie 42. (2) | Eſaie am 42. Cap. (1) | Jesa. 42. (1)	druck_1608_bern:490; druck_1608_zuerich:492; druck_1701:438,525	
Jes 5	Jesaja	5	4	0.857	Esaije. v. (1) | Eſaie am v. (1) | Eſa. 5. (1) | Jeſa. 5. (1)	a_v_1447_schlussredaktion:329; druck_1528:203; druck_1701:568,576	
Kol 1	Kolosser	1	4	0.909	"Coloſſ. 1. (1) | zun Coloſſern am I. Cap. (1) | zun Coloſ. am I.
Capitel (1) | Coloſſ.
1. (1)"	druck_1608_zuerich:721; druck_1701:145,254,558	
Lk 18	Lukas	18	4	1.0	Luc. 18. (3) | Luce. am 18 (1)	druck_1608_zuerich:720,732; druck_1701:557,570	
Lk 20	Lukas	20	4	1.0	"Luce
am 20. Cap. (2) | Luce am xx. (1) | Luce am 20. Cap. (1)"	druck_1528_04:488; druck_1608_bern:491; druck_1608_zuerich:493; druck_1701:438	
Lk 23	Lukas	23	4	1.0	"Luce am 23.
Capitel. (2) | luce. xxiii. (1) | Luce am 23. Capitel (1)"	a_v_1447_schlussredaktion:619; druck_1608_bern:497; druck_1608_zuerich:499; druck_1701:444	
Lk 4	Lukas	4	4	1.0	"Luce am 4. Cap. (2) | Lucas iiii cap (1) | Luc. am 4.
Cap. (1)"	a_v_1447_schlussredaktion:406; druck_1608_bern:292; druck_1608_zuerich:294; druck_1701:260	
Mk 7	Markus	7	4	0.857	Marci 7. (2) | Mar. 7. (1) | Marc.7. (1)	druck_1608_bern:489; druck_1608_zuerich:491,686; druck_1701:524	
Num 28	Numeri	28	4	1.0	"Numeri am
28. (2) | Numeri. xxviii. (1) | Num.
am 28. (1)"	a_v_1447_schlussredaktion:588; druck_1608_bern:430; druck_1608_zuerich:432; druck_1701:385	
Offb 5	Offenbarung	5	4	0.952	Apocalipſi 5. Capit. (2) | Apocalipſi. v. cap. (1) | Apocalipſi.v.cap. (1)	druck_1528:408; druck_1528_04:468; druck_1608_bern:470; druck_1608_zuerich:472	
Ps 31	Psalmen	31	4	1.0	Pſalmo 31. (2) | Psalmo 31. (1) | Pſal. 31. (1)	druck_1608_bern:475; druck_1608_zuerich:477,733; druck_1701:425	
Ps 85	Psalmen	85	4	1.0	"Pſalmo 85. (2) | Pſal. lxxxv (1) | Pſal.
lxxxv. (1)"	druck_1528:175; druck_1528_04:497; druck_1608_bern:500; druck_1608_zuerich:502	
1 Thess 3	1 Thessalonicher	3	3	0.875	"zun Theſſalon.am 3. Cap. (1) | zun Theſſalon. am 3. Cap. (1) | zun Thessal.
am 3. Cap. (1)"	druck_1608_bern:467; druck_1608_zuerich:469; druck_1701:418	
Apg 16	Apostelgeschichte	16	3	0.857	"Act. 16. (2) | Acta
16 (1)"	a_v_1447_schlussredaktion:339; druck_1608_zuerich:764; druck_1701:602	
Apg 7	Apostelgeschichte	7	3	1.0	Actorum am 7. Capitel. (3)	druck_1608_bern:394; druck_1608_zuerich:396; druck_1701:354	
Dan 11	Daniel	11	3	1.0	Danielis am 11. (2) | Danielis xi. (1)	a_v_1447_schlussredaktion:605; druck_1608_bern:447; druck_1608_zuerich:449	
Dtn 12	Deuteronomium	12	3	1.0	Deut.am 12. (2) | Deut. am 12. (1)	druck_1608_bern:190; druck_1608_zuerich:192; druck_1701:167	
Dtn 18	Deuteronomium	18	3	1.0	Deut. 18. (3)	druck_1608_zuerich:727,816; druck_1701:657	
Dtn 34	Deuteronomium	34	3	1.0	"Deut.
34. (2) | Deut. 34. (1)"	druck_1608_bern:524; druck_1608_zuerich:526; druck_1701:469	
Eph 6	Epheser	6	3	1.0	"Epheſ.
am 6. (2) | Epheſ. am 6. (1)"	druck_1608_bern:193; druck_1608_zuerich:195; druck_1701:170	
Ex 2	Exodus	2	3	1.0	Exodi am 2. (2) | EXodi am 2. (1)	druck_1608_bern:530; druck_1608_zuerich:532; druck_1701:473	
Ez 3	Ezechiel	3	3	0.889	Ezechielis 3. (2) | Ezechielis am 3. Cap. (1)	druck_1608_bern:561; druck_1608_zuerich:563; druck_1701:500	
Gen 22	Genesis	22	3	0.857	Gen. 22. (2) | penesis am xxii cap (1)	a_v_1447_schlussredaktion:464; druck_1608_zuerich:727; druck_1701:564	
Gen 44	Genesis	44	3	1.0	Geneſis 44. (2) | Gen. am 44. (1)	druck_1608_bern:502; druck_1608_zuerich:504; druck_1701:449	
Hebr 12	Hebräer	12	3	0.889	zun Hebreern am 12. (2) | zun Hebr. am 12. (1)	druck_1608_bern:229; druck_1608_zuerich:231; druck_1701:203	
Hebr 4	Hebräer	4	3	0.889	Hebr. 4. (3)	a_v_1444_cyro:12; druck_1608_bern:39; druck_1608_zuerich:41	
Hos 4	Hosea	4	3	1.0	Oſee am 4. (3)	druck_1608_bern:456; druck_1608_zuerich:458; druck_1701:409	
Jes 22	Jesaja	22	3	1.0	Eſaie 22. cap. (1) | Eſaie 22.cap. (1) | Eſa. 22. Cap. (1)	druck_1608_bern:76; druck_1608_zuerich:78; druck_1701:61	
Jes 24	Jesaja	24	3	1.0	Eſaie 24. Cap. (2) | Esaie am 24. Cap. (1)	druck_1608_bern:517; druck_1608_zuerich:519; druck_1701:462	
Joh 16	Johannes	16	3	0.875	"Johannis am xvi (2) | Johannis am
16. Capitel (1)"	a_v_1447_schlussredaktion:163,357; druck_1701:35	
Joh 19	Johannes	19	3	0.875	"Johannis am
xix. Capitel (1) | Johannis am xix. capitel (1) | Johannis am 19. Cap. (1)"	druck_1528:142; druck_1528_04:170; druck_1701:147	
Kol 4	Kolosser	4	3	1.0	zun Coloſſenſes am 4. (3)	druck_1608_bern:193; druck_1608_zuerich:195; druck_1701:170	
Lk 14	Lukas	14	3	1.0	Luc. am 14. (3)	druck_1608_bern:249; druck_1608_zuerich:251; druck_1701:222	
Lk 15	Lukas	15	3	1.0	Luc. 15. (2) | Luce am xv. cap. (1)	druck_1528:426; druck_1608_zuerich:732; druck_1701:569	
Lk 21	Lukas	21	3	1.0	Luce am 21. (3)	druck_1608_bern:444; druck_1608_zuerich:446; druck_1701:397	
Lk 3	Lukas	3	3	0.889	Luca. 3. (2) | Luca am 3. (1)	druck_1608_bern:364; druck_1608_zuerich:366; druck_1701:326	
Lk 7	Lukas	7	3	1.0	"Luce am 7.
Capit. (2) | Luce am 7. Cap. (1)"	druck_1608_bern:456; druck_1608_zuerich:458; druck_1701:409	
Mk 12	Markus	12	3	1.0	Marci 12. (2) | Marci am 12. (1)	druck_1608_bern:515; druck_1608_zuerich:517; druck_1701:460	
Mk 4	Markus	4	3	0.857	"Mar.
am 4. (2) | Marci am 4. (1)"	druck_1608_bern:192; druck_1608_zuerich:194; druck_1701:168	
Mt 13	Matthäus	13	3	0.889	Matt. 13. (2) | Matth. 13. (1)	druck_1608_zuerich:761; druck_1701:599,617	
Mt 14	Matthäus	14	3	1.0	"Matth. am 14. (1) | Matth.am 14. (1) | Matth.
am 14. (1)"	druck_1608_bern:505; druck_1608_zuerich:507; druck_1701:451	
Mt 21	Matthäus	21	3	1.0	Matth. am 21. Cap. (2) | Matthei am 21. Capitel (1)	druck_1608_bern:342; druck_1608_zuerich:344; druck_1701:306	
Mt 29	Matthäus	29	3	1.0	"Matth. 29. (2) | Matthei
am 29. (1)"	druck_1608_bern:460; druck_1608_zuerich:462; druck_1701:412	
Num 6	Numeri	6	3	1.0	"Numeri
am 6. Capit. (2) | Numeri am 6. Cap. (1)"	druck_1608_bern:547; druck_1608_zuerich:549; druck_1701:488	
Offb 3	Offenbarung	3	3	0.909	"Apocalipſis
am 3.cap. (2) | Apocalypſis am 3.Cap. (1)"	druck_1608_bern:163; druck_1608_zuerich:165; druck_1701:141	
Ps 14	Psalmen	14	3	1.0	Pſalm. 14. (2) | Pſalm 14. (1)	druck_1608_bern:500; druck_1608_zuerich:502; druck_1701:447	
Ps 8	Psalmen	8	3	1.0	Pſalmo 8. (1) | Psalmo 8. (1) | Psalm. 8. (1)	druck_1608_bern:382; druck_1608_zuerich:384; druck_1701:343	
Ps 88	Psalmen	88	3	0.857	"Psa.
88. (2) | Palmo
lxxxviii. (1)"	a_v_1447_schlussredaktion:295; druck_1608_bern:206; druck_1608_zuerich:208	
Röm 11	Römer	11	3	1.0	Rom. 11. (2) | Romanos am xi. (1)	a_v_1447_schlussredaktion:344; druck_1701:534,585	
Spr 2	Sprüche	2	3	1.0	Spruch am 2. (3)	druck_1608_bern:215; druck_1608_zuerich:217; druck_1701:190	
Spr 8	Sprüche	8	3	1.0	"Prouerbiorum. viii. (1) | prouerbiorum viii. (1) | prouerbiorum
viii. (1)"	a_v_1447_schlussredaktion:580,583	
1 Kor 14	1 Korinther	14	2	0.875	"Corinth. 14. Capit. (1) | Corinther
am 14. Cap. (1)"	druck_1608_zuerich:474; druck_1701:370	
1 Kor 4	1 Korinther	4	2	1.0	zun Corint. 4. cap. (1) | zun Corint.4.cap. (1)	druck_1608_bern:159; druck_1608_zuerich:161	
1 Kor 8	1 Korinther	8	2	1.0	zun Corinth. am 8. Cap. (2)	druck_1608_bern:299; druck_1608_zuerich:301	
1 Petr 4	1 Petrus	4	2	0.889	Petr. am 4. cap. (2)	druck_1608_bern:237; druck_1608_zuerich:239	
1 Thess 4	1 Thessalonicher	4	2	0.897	Thessalonicenses. iiii (1) | Theſſalonicen. 4. (1)	a_v_1447_schlussredaktion:697; druck_1701:470	
Am 6	Amos	6	2	1.0	"Amos. 6. (1) | Amos
am 6. Capitel (1)"	druck_1528_04:49; druck_1701:40	
Apg 3	Apostelgeschichte	3	2	0.857	Act.3. (1) | Actorum am 3. (1)	druck_1608_zuerich:719; druck_1701:556	
Apg 8	Apostelgeschichte	8	2	0.857	Act. 8. (1) | Act. 8 (1)	druck_1608_zuerich:737; druck_1701:575	
Dan 60	Daniel	60	2	0.857	Dann 60 (1) | dann 60 (1)	a_v_1447_schlussredaktion:281,575	
Dan 8	Daniel	8	2	0.857	Canielis. viii. (1) | nielis am 8. (1)	a_v_1447_schlussredaktion:279; druck_1701:167	
Dtn 17	Deuteronomium	17	2	1.0	Deut. 17. (2)	druck_1608_zuerich:824; druck_1701:665	
Dtn 25	Deuteronomium	25	2	1.0	Deut. 25. (2)	druck_1608_zuerich:739; druck_1701:576	
Dtn 6	Deuteronomium	6	2	1.0	Deut 6. (1) | Deut. 6. (1)	druck_1608_zuerich:687; druck_1701:525	
Ex 19	Exodus	19	2	0.857	Exo. 19. (1) | Exod. 19. (1)	druck_1608_zuerich:769; druck_1701:608	
Ex 22	Exodus	22	2	1.0	Exod. 22. (2)	druck_1608_zuerich:825; druck_1701:665	
Ex 34	Exodus	34	2	0.889	xodi 34. (1) | Exodi. 34. (1)	druck_1608_zuerich:687; druck_1701:525	
Ez 18	Ezechiel	18	2	0.889	Ezechielem am 18. (2)	druck_1608_bern:490; druck_1608_zuerich:492	
Ez 36	Ezechiel	36	2	1.0	Ezech. 36. (2)	druck_1608_zuerich:707; druck_1701:546	
Gen 18	Genesis	18	2	1.0	Geneſis am 18. Capitel (2)	druck_1608_bern:333; druck_1608_zuerich:335	
Hebr 11	Hebräer	11	2	1.0	zun Hebreern am 11. Capit. (2)	druck_1608_bern:330; druck_1608_zuerich:332	
Hebr 2	Hebräer	2	2	1.0	zun Hebreern am 2. Cap. (2)	druck_1701:332,343	
Hos 11	Hosea	11	2	1.0	Oſee am 11. (2)	druck_1608_bern:552; druck_1608_zuerich:554	
Jer 11	Jeremia	11	2	0.875	Iheremie am 11. Capitel (1) | Jheremie am 11. Capitel (1)	druck_1608_bern:367; druck_1608_zuerich:369	
Jes 25	Jesaja	25	2	1.0	Eſaie 25. Cap. (1) | Eſa.25.cap (1)	druck_1528:407; druck_1528_04:468	
Joh 12	Johannes	12	2	0.857	hannis am 12. Cap. (1) | Johannis am 12. Cap. (1)	druck_1701:147,150	
Joh 15	Johannes	15	2	0.875	Ioan.xv. (1) | Johannis am xv. (1)	druck_1528_04:34,198	
Lev 21	Leviticus	21	2	1.0	Leuitici am 21. (2)	druck_1608_bern:557; druck_1608_zuerich:559	
Lk 11	Lukas	11	2	1.0	Luc. 11. (2)	druck_1608_zuerich:735; druck_1701:572	
Lk 17	Lukas	17	2	1.0	Luc. 17. (2)	druck_1608_zuerich:749; druck_1701:587	
Lk 19	Lukas	19	2	1.0	Luc. 19. (2)	druck_1608_zuerich:736; druck_1701:574	
Lk 5	Lukas	5	2	1.0	Luce am v. (1) | Lucas am v.capitel (1)	a_v_1447_schlussredaktion:318; druck_1528_04:48	
Mal 1	Maleachi	1	2	1.0	Malachie am 1. (2)	druck_1608_bern:414; druck_1608_zuerich:416	
Mi 5	Micha	5	2	0.889	Mich. 5. (2)	druck_1608_zuerich:715; druck_1701:551	
Mk 10	Markus	10	2	0.857	Mar. 10. (1) | Marc. 10. (1)	druck_1608_zuerich:813; druck_1701:653	
Mk 3	Markus	3	2	0.857	Mar. 3. (1) | Marc. 3. (1)	druck_1608_zuerich:737; druck_1701:575	
Num 24	Numeri	24	2	1.0	Num. 24. (1) | Num. 24 (1)	druck_1608_zuerich:709; druck_1701:547	
Ps 113	Psalmen	113	2	1.0	Pſal. 113. (2)	druck_1608_zuerich:695; druck_1701:534	
Ps 139	Psalmen	139	2	1.0	Pſal. 139. (2)	druck_1608_zuerich:695; druck_1701:534	
Ps 148	Psalmen	148	2	1.0	in Pſal. 148. (2)	druck_1608_zuerich:698; druck_1701:536	
Ps 33	Psalmen	33	2	1.0	Pſal 33. (1) | Pſal. 33. (1)	druck_1608_zuerich:698; druck_1701:537	
Ps 36	Psalmen	36	2	1.0	Pſalm.36. (1) | Pſalm. 36. (1)	druck_1608_bern:247; druck_1608_zuerich:249	
Ps 5	Psalmen	5	2	1.0	"Pſalm
5. (1) | Pſalm.5. (1)"	druck_1608_zuerich:702; druck_1701:541	
Ps 51	Psalmen	51	2	1.0	Pſalm. 51. (1) | Pſal. 51. (1)	druck_1608_zuerich:790; druck_1701:630	
Ps 84	Psalmen	84	2	1.0	"Pſal. am
84. (2)"	druck_1608_bern:163; druck_1608_zuerich:165	
Ps 94	Psalmen	94	2	1.0	Pſal. 94. (2)	druck_1608_zuerich:696; druck_1701:535	
Tit 3	Titus	3	2	0.857	Tit. 3. (2)	druck_1608_zuerich:746; druck_1701:584	
1 Petr 15	1 Petrus	15	1	1.0	pite. xv. (1)	druck_1528:172	
1 Petr 8	1 Petrus	8	1	0.889	pitel 8 (1)	druck_1528:37	
1 Sam 15	1 Samuel	15	1	0.857	Reg. 15. (1)	druck_1528_04:49	
1 Sam 7	1 Samuel	7	1	0.909	"Künig am 7.
Capitel. (1)"	druck_1608_bern:531	
Apg 23	Apostelgeschichte	23	1	0.857	Act. 23 (1)	druck_1608_zuerich:697	
Apg 25	Apostelgeschichte	25	1	0.857	Act. 25. (1)	druck_1701:535	
Apg 81	Apostelgeschichte	81	1	1.0	Acta. 81. (1)	druck_1528:189	
Dan 150	Daniel	150	1	1.0	"dan
150 (1)"	a_v_1447_schlussredaktion:384	
Dan 5	Daniel	5	1	0.857	Dann V. (1)	druck_1608_zuerich:586	
Dan 6	Daniel	6	1	0.857	dann Vi (1)	a_v_1447_schlussredaktion:627	
Dan 94	Daniel	94	1	0.857	Dann vill (1)	a_v_1447_schlussredaktion:362	
Dtn 29	Deuteronomium	29	1	1.0	Deut. 29. (1)	druck_1608_zuerich:586	
Dtn 7	Deuteronomium	7	1	1.0	Deut am 7. (1)	druck_1701:136	
Eph 7	Epheser	7	1	0.857	Eph. 7. (1)	druck_1608_zuerich:754	
Ex 1	Exodus	1	1	1.0	Exod. am I. (1)	druck_1701:213	
Ex 4	Exodus	4	1	1.0	Exod. am 4. Cap. (1)	druck_1701:159	
Ez 44	Ezechiel	44	1	0.889	Ezechielis am 44. Capitel. (1)	druck_1701:176	
Ez 7	Ezechiel	7	1	0.933	"Ezehiel
7. (1)"	a_v_1445_schoeni:17	
Hebr 6	Hebräer	6	1	0.889	Ebre. 6. (1)	druck_1608_zuerich:605	
Hos 13	Hosea	13	1	0.889	Osea 13. (1)	druck_1528_04:7	
Jer 13	Jeremia	13	1	0.857	Ier 13. (1)	druck_1608_zuerich:748	
Jer 26	Jeremia	26	1	1.0	Hieremie am xxvi. (1)	druck_1528:440	
Jes 20	Jesaja	20	1	1.0	"Eſa.
20. (1)"	druck_1608_zuerich:592	
Jes 50	Jesaja	50	1	0.909	Esaije. xxxxx. (1)	a_v_1447_schlussredaktion:330	
Jes 66	Jesaja	66	1	0.857	Jeſa. 66. (1)	druck_1701:530	
Jes 9	Jesaja	9	1	1.0	Eſa. 9. (1)	druck_1701:611	
Joh 120	Johannes	120	1	0.875	Johannis cxx cap (1)	a_v_1447_schlussredaktion:211	
Joh 18	Johannes	18	1	0.875	Johannis xviii. (1)	a_v_1447_schlussredaktion:618	
Joh 8	Johannes	8	1	0.875	Johannis. viii. (1)	a_v_1447_schlussredaktion:626	
Joh 84	Johannes	84	1	0.875	Johannis xvic. (1)	a_v_1447_schlussredaktion:284	
Jos 4	Josua	4	1	0.857	sios. iiii. (1)	a_v_1447_schlussredaktion:738	
Kol 11	Kolosser	11	1	0.857	zum Collosensern am 11 cap (1)	a_v_1447_schlussredaktion:246	
Lk 13	Lukas	13	1	1.0	Luce. 13. cap. (1)	druck_1608_zuerich:711	
Lk 84	Lukas	84	1	0.857	Lucr. xvic. (1)	a_v_1447_schlussredaktion:644	
Mk 101	Markus	101	1	0.857	"Mar
ci (1)"	druck_1528_04:274	
Mk 13	Markus	13	1	1.0	Marci am 13. Capitel (1)	druck_1701:352	
Mt 22	Matthäus	22	1	1.0	Matthei am 22. (1)	druck_1701:464	
Mt 8	Matthäus	8	1	1.0	Mathei am viii. (1)	a_v_1447_schlussredaktion:280	
Ps 1	Psalmen	1	1	1.0	Psalmo. 1. (1)	a_v_1447_schlussredaktion:572	
Ps 104	Psalmen	104	1	1.0	Pſal. 104. (1)	druck_1608_zuerich:699	
Ps 118	Psalmen	118	1	1.0	in Pſal. 118. (1)	druck_1608_zuerich:592	
Ps 141	Psalmen	141	1	1.0	"Pſalmo
141. (1)"	druck_1701:463	
Ps 35	Psalmen	35	1	0.909	Palmo. xxxv (1)	a_v_1447_schlussredaktion:340	
Röm 16	Römer	16	1	0.909	zun Roͤmern am 16. Cap. (1)	druck_1701:81	
Röm 18	Römer	18	1	1.0	Rom 18. (1)	druck_1608_zuerich:747	
Röm 24	Römer	24	1	1.0	Romanos 24 (1)	a_v_1447_schlussredaktion:590	
Röm 7	Römer	7	1	0.909	Roͤmern am 7. (1)	druck_1608_zuerich:708	
Spr 3	Sprüche	3	1	0.909	pruch 3 (1)	a_v_1445_schoeni:50	
Spr 30	Sprüche	30	1	0.923	Prouer. 30 (1)	druck_1528_04:7	
