reference	book	chapter	count	min_confidence	surfaces	pages	confirmed
Röm 6	Römer	6	11	0.909	Rom. 6. (5) | zun Römern am 6. Cap. (3) | zun Römern. 6. Cap. (1) | Römern. 6. Cap. (1) | zun Römern am 6. Capitel (1)	druck_1608_bern:289,429; druck_1608_zuerich:291,431,737,746,817; druck_1701:257,384,584,657	
1 Kor 11	1 Korinther	11	10	1.0	"zun Corinth.
am 11. Capit. (4) | zun Corinth. 11. Capitel (2) | Corinth. am 11. Capit. (2) | Corinth. 11. (2)"	druck_1608_bern:280,347,363,386,428; druck_1608_zuerich:282,349,365,388,430	
Apg 1	Apostelgeschichte	1	10	0.857	Act. 1. cap. (2) | Actuum am 1. (2) | Actorum. 1. (2) | Act. I. Cap. (1) | Actuum am I. (1) | Actorum am 1. (1)	druck_1608_bern:66,192,499; druck_1608_zuerich:68,194,501; druck_1701:53,169,332,445	
Apg 17	Apostelgeschichte	17	10	0.857	"Act. 17. (4) | Act.17.cap. (2) | Actuum am 17. (2) | Actorum 17. (1) | Actuum am
17. (1)"	druck_1608_bern:128,203; druck_1608_zuerich:130,205,608,692,696; druck_1701:179,530,534	
Apg 9	Apostelgeschichte	9	10	0.857	Actorum am 9. Capitel (3) | Actorum am 9. Cap. (2) | actoru ix (1) | Actorum am ix. cap. (1) | Actozum am ix. cap. (1) | Actorum am ix.capitel. (1)	a_v_1447_schlussredaktion:546; druck_1528:341,343; druck_1528_04:394,396; druck_1608_bern:392,394; druck_1608_zuerich:394,396; druck_1701:354	
Dan 4	Daniel	4	10	1.0	Danielis am 4. (9) | Danielis iiii (1)	a_v_1447_schlussredaktion:334; druck_1608_bern:241,481,482; druck_1608_zuerich:243,483,484; druck_1701:213,430,431	
Dan 9	Daniel	9	10	0.857	Danielem am 9. (3) | Danielis am ix. (2) | Danielem am ix. (2) | Danielis am 9. (2) | Danielis viiii. (1)	a_v_1447_schlussredaktion:602; druck_1528:386; druck_1528_04:444; druck_1608_bern:444; druck_1608_zuerich:446; druck_1701:398	
Dtn 4	Deuteronomium	4	10	0.87	"Deutronomij am 4.
Capit. (2) | Deutronomij am 4. (2) | Deutronomij 4. (2) | Oeutronomij. iiii. (1) | Deut.
am 4. Cap. (1) | Deut. am 4. (1)"	a_v_1447_schlussredaktion:711; druck_1608_bern:530,534,535; druck_1608_zuerich:532,536,537; druck_1701:473,477,478	
Jes 29	Jesaja	29	10	1.0	"Eſaie am 29. (3) | Eſaje am 29. (2) | Eſaie
am xxix. (1) | Eſaie am xxix. (1) | Esaie.xxix. (1) | Eſaie.
am xxix. (1)"	druck_1528:161,185; druck_1528_04:191,218; druck_1608_bern:190,216; druck_1608_zuerich:192,218; druck_1701:167,191	
Joh 21	Johannes	21	10	0.875	Johannis am 21. Capitel. (3) | Johanne am 21. cap. (2) | Johannis am 21. (1) | Johannes 21 (1) | Johannis am 21. Capitel (1) | Johanne am 21. Cap. (1)	a_v_1443_hertwig:44,55; druck_1608_bern:62,501; druck_1608_zuerich:64,503; druck_1701:40,48,125,447	
Lk 1	Lukas	1	10	1.0	Luc. 1. (3) | Luce 1. (2) | Luc. am 1. (1) | Luc.am 1. (1) | Luc. am I. (1) | Lucas am 1. Cap. (1)	druck_1608_bern:199,489; druck_1608_zuerich:201,491,688,709; druck_1701:176,229,437,526	
Lk 2	Lukas	2	10	0.889	"Luce am 2. Cap. (3) | Luc.am 2. (2) | Luca
am ii cap. (1) | Lucas ii cap (1) | Luce am 2. (1) | Luce am 2. Capitel (1)"	a_v_1447_schlussredaktion:511,542; druck_1608_bern:192,490; druck_1608_zuerich:194,492; druck_1701:168,339,350,438	
